zip,city,state
41774,Viper,KY
16932,Mainesburg,PA
36866,Notasulga,AL
99667,Skwentna,AK
42122,Alvaton,KY
54893,Webster,WI
62069,Mount Olive,IL
13692,Thousand Island Park,NY
4972,Sandy Point,ME
39815,Attapulgus,GA
45647,Londonderry,OH
62298,Waterloo,IL
81221,Coal Creek,CO
99352,Richland,WA
29461,Moncks Corner,SC
85531,Central,AZ
11575,Roosevelt,NY
91436,Encino,CA
36461,Monroeville,AL
38754,Isola,MS
35136,Rockford,AL
60556,Waterman,IL
99131,Gifford,WA
41014,Covington,KY
58001,Abercrombie,ND
27231,Cedar Grove,NC
7731,Howell,NJ
44882,Sycamore,OH
55018,Dennison,MN
91305,Canoga Park,CA
27205,Asheboro,NC
1915,Beverly,MA
73079,Pocasset,OK
55363,Montrose,MN
52323,Oxford Junction,IA
7878,Mount Tabor,NJ
28547,Camp Lejeune,NC
41451,Malone,KY
59347,Rosebud,MT
56751,Roseau,MN
58474,Oakes,ND
29678,Seneca,SC
55472,Minneapolis,MN
38587,Walling,TN
51340,Fostoria,IA
45891,Van Wert,OH
56228,Cosmos,MN
21865,Tyaskin,MD
27542,Kenly,NC
35005,Adamsville,AL
87319,Mentmore,NM
58549,Kintyre,ND
75158,Scurry,TX
17833,Kreamer,PA
44432,Lisbon,OH
93438,Lompoc,CA
1224,Berkshire,MA
2829,Harmony,RI
8850,Milltown,NJ
50521,Burnside,IA
17554,Mountville,PA
1566,Sturbridge,MA
30753,Trion,GA
15365,Taylorstown,PA
17564,Penryn,PA
43357,West Liberty,OH
47434,Harrodsburg,IN
5352,Stamford,VT
7107,Newark,NJ
21632,Federalsburg,MD
8201,Absecon,NJ
45176,Williamsburg,OH
29452,Jacksonboro,SC
5345,Newfane,VT
27895,Wilson,NC
10981,Sugar Loaf,NY
46929,Flora,IN
49101,Baroda,MI
46047,Hobbs,IN
44117,Euclid,OH
58626,Dunn Center,ND
41179,Vanceburg,KY
36852,Cusseta,AL
20726,Laurel,MD
48766,Twining,MI
8314,Delmont,NJ
22989,Woodberry Forest,VA
76270,Sunset,TX
84791,Saint George,AZ
48342,Pontiac,MI
62901,Carbondale,IL
27828,Farmville,NC
48186,Westland,MI
18355,Scotrun,PA
25164,Procious,WV
27841,Hassell,NC
11423,Hollis,NY
73834,Buffalo,OK
72376,Proctor,AR
12496,Windham,NY
95669,Plymouth,CA
57633,Isabel,SD
28448,Kelly,NC
32751,Maitland,FL
5739,Danby,VT
29037,Chappells,SC
49879,Republic,MI
29130,Ridgeway,SC
7939,Lyons,NJ
10583,Scarsdale,NY
51342,Graettinger,IA
59486,Valier,MT
95665,Pine Grove,CA
70426,Angie,LA
73463,Wilson,OK
3057,Mont Vernon,NH
41739,Dwarf,KY
936,San Juan,PR
37819,Newcomb,TN
37801,Maryville,TN
96108,Davis Creek,CA
28023,China Grove,NC
62650,Jacksonville,IL
38542,Allred,TN
93016,Fillmore,CA
31026,Eatonton,GA
30735,Resaca,GA
54120,Fence,WI
18218,Coaldale,PA
26034,Chester,WV
77446,Prairie View,TX
97637,Plush,OR
21220,Middle River,MD
16667,Osterburg,PA
57794,Wounded Knee,SD
66030,Gardner,KS
15440,Gibbon Glade,PA
58365,Rocklake,ND
29516,Blenheim,SC
98581,Ryderwood,WA
29434,Cordesville,SC
28016,Bessemer City,NC
45889,Van Buren,OH
25203,Turtle Creek,WV
12872,Severance,NY
37058,Dover,TN
13117,Montezuma,NY
96923,Mangilao,GU
15464,Mill Run,PA
41052,Jonesville,KY
43733,Derwent,OH
24352,Laurel Fork,VA
25545,Ona,WV
95538,Fort Dick,CA
92312,Barstow,CA
43516,Deshler,OH
83806,Bovill,ID
37815,Morristown,TN
90608,Whittier,CA
15668,Murrysville,PA
95253,Victor,CA
71923,Arkadelphia,AR
50161,Maxwell,IA
52652,Swedesburg,IA
67579,Sterling,KS
47665,Owensville,IN
30627,Carlton,GA
48444,Imlay City,MI
86432,Littlefield,AZ
83669,Star,ID
56262,Milan,MN
63540,Gibbs,MO
18081,Springtown,PA
49052,Fulton,MI
24931,Crawley,WV
44417,Farmdale,OH
24613,Falls Mills,VA
79763,Odessa,TX
28349,Kenansville,NC
78067,San Ygnacio,TX
53584,Sextonville,WI
15550,Manns Choice,PA
5150,North Springfield,VT
71004,Belcher,LA
12779,South Fallsburg,NY
54002,Baldwin,WI
71259,Mangham,LA
52232,Hartwick,IA
11691,Far Rockaway,NY
24640,Red Ash,VA
43058,Newark,OH
16630,Cresson,PA
21821,Deal Island,MD
77489,Missouri City,TX
25646,Stollings,WV
19530,Kutztown,PA
7640,Harrington Park,NJ
72553,Magness,AR
59750,Butte,MT
79022,Dalhart,TX
23955,Nottoway,VA
31807,Ellerslie,GA
48607,Saginaw,MI
77568,La Marque,TX
12569,Pleasant Valley,NY
4460,Medway,ME
2918,Providence,RI
20839,Beallsville,MD
3276,Tilton,NH
19475,Spring City,PA
63656,Middle Brook,MO
18922,Forest Grove,PA
28671,Rutherford College,NC
15052,Industry,PA
38369,Rutherford,TN
62478,West York,IL
67422,Bennington,KS
48475,Ubly,MI
63089,Villa Ridge,MO
20855,Derwood,MD
36013,Cecil,AL
93512,Benton,CA
35752,Hollywood,AL
68861,Odessa,NE
47852,Graysville,IN
65747,Shell Knob,MO
17579,Strasburg,PA
42458,Spottsville,KY
68070,Weston,NE
40983,Sextons Creek,KY
12450,Lanesville,NY
50649,Kesley,IA
14063,Fredonia,NY
96553,Apo,AP
87421,Waterflow,NM
72166,Tichnor,AR
59926,Martin City,MT
39165,Sibley,MS
11976,Water Mill,NY
98393,Tracyton,WA
41081,Plummers Landing,KY
62037,Grafton,IL
12959,Mooers Forks,NY
49747,Hubbard Lake,MI
49020,Bedford,MI
33966,Fort Myers,FL
77458,Midfield,TX
1826,Dracut,MA
80632,Greeley,CO
77512,Alvin,TX
57568,Presho,SD
37047,Cornersville,TN
30112,Carrollton,GA
24808,Anawalt,WV
57002,Aurora,SD
24603,Big Rock,VA
14809,Avoca,NY
35094,Leeds,AL
64036,Henrietta,MO
56044,Henderson,MN
91209,Glendale,CA
79231,Dougherty,TX
74531,Calvin,OK
28356,Linden,NC
35552,Detroit,AL
43440,Lakeside Marblehead,OH
14059,Elma,NY
1903,Lynn,MA
38044,Hornsby,TN
51331,Arnolds Park,IA
6840,New Canaan,CT
12555,Newburgh,NY
57477,Turton,SD
76253,Myra,TX
78007,Calliham,TX
61438,Good Hope,IL
18690,Dallas,PA
37085,Lascassas,TN
34736,Groveland,FL
769,Coamo,PR
22556,Stafford,VA
17540,Leola,PA
57359,Letcher,SD
3843,Hampton,NH
70513,Avery Island,LA
95307,Ceres,CA
13685,Sackets Harbor,NY
61739,Fairbury,IL
7717,Avon By The Sea,NJ
95715,Emigrant Gap,CA
97703,Bend,OR
17972,Schuylkill Haven,PA
44149,Strongsville,OH
33556,Odessa,FL
37071,Gladeville,TN
35648,Lexington,AL
46393,Wheeler,IN
64870,Webb City,MO
46531,Grovertown,IN
56688,Wirt,MN
37868,Pigeon Forge,TN
31636,Lake Park,GA
83809,Careywood,ID
62831,Du Bois,IL
99619,Kodiak,AK
12788,Woodbourne,NY
78418,Corpus Christi,TX
18970,Trumbauersville,PA
72565,Oxford,AR
28771,Robbinsville,NC
87545,Los Alamos,NM
14428,Churchville,NY
85234,Gilbert,AZ
30631,Crawfordville,GA
14778,Saint Bonaventure,NY
69150,Madrid,NE
94927,Rohnert Park,CA
49229,Britton,MI
58705,Minot Afb,ND
67733,Edson,KS
12745,Hortonville,NY
17568,Refton,PA
38382,Trenton,TN
85350,Somerton,AZ
75762,Flint,TX
81071,Sheridan Lake,CO
56022,Darfur,MN
24977,Smoot,WV
46766,Liberty Center,IN
50662,Oelwein,IA
23922,Burkeville,VA
99690,Nightmute,AK
22803,Harrisonburg,VA
47104,Bethlehem,IN
54013,Glenwood City,WI
58467,Medina,ND
20599,Washington,MD
21791,Union Bridge,MD
97720,Burns,OR
56566,Naytahwaush,MN
36759,Marion Junction,AL
1077,Southwick,MA
60539,Mooseheart,IL
87112,Albuquerque,NM
20742,College Park,MD
53825,Stitzer,WI
23696,Seaford,VA
50146,Linden,IA
62922,Creal Springs,IL
1910,Lynn,MA
99791,Atqasuk,AK
24827,Cyclone,WV
56686,Williams,MN
56335,Greenwald,MN
23249,Richmond,VA
68003,Ashland,NE
35984,Mentone,AL
29161,Timmonsville,SC
35046,Clanton,AL
62974,Pittsburg,IL
84005,Eagle Mountain,UT
4443,Guilford,ME
76557,Moody,TX
97370,Philomath,OR
17880,Swengel,PA
58380,Tolna,ND
